大学,考试方式,学院,专业,研究方向,网址
东北师范大学,统考,(127)信息科学与技术学院,(077500)计算机科学与技术,(01)计算机系统结构,"<ahref=""/zsml/kskm.jsp?id=1020021127077500011""target=""_blank"">查看</a>"
东北师范大学,统考,(127)信息科学与技术学院,(077500)计算机科学与技术,(02)计算机软件与理论,"<ahref=""/zsml/kskm.jsp?id=1020021127077500021""target=""_blank"">查看</a>"
东北师范大学,统考,(127)信息科学与技术学院,(077500)计算机科学与技术,(03)计算机应用技术,"<ahref=""/zsml/kskm.jsp?id=1020021127077500031""target=""_blank"">查看</a>"
东北师范大学,统考,(127)信息科学与技术学院,(077500)计算机科学与技术,(04)智能科学与技术,"<ahref=""/zsml/kskm.jsp?id=1020021127077500041""target=""_blank"">查看</a>"
四川大学,统考,(304)计算机学院,(077500)计算机科学与技术,(01)计算机系统结构,"<ahref=""/zsml/kskm.jsp?id=1061021304077500011""target=""_blank"">查看</a>"
四川大学,统考,(304)计算机学院,(077500)计算机科学与技术,(02)计算机网络,"<ahref=""/zsml/kskm.jsp?id=1061021304077500021""target=""_blank"">查看</a>"
四川大学,统考,(304)计算机学院,(077500)计算机科学与技术,(03)网络空间安全,"<ahref=""/zsml/kskm.jsp?id=1061021304077500031""target=""_blank"">查看</a>"
四川大学,统考,(304)计算机学院,(077500)计算机科学与技术,(04)数据科学,"<ahref=""/zsml/kskm.jsp?id=1061021304077500041""target=""_blank"">查看</a>"
四川大学,统考,(304)计算机学院,(077500)计算机科学与技术,(05)计算机科学理论,"<ahref=""/zsml/kskm.jsp?id=1061021304077500051""target=""_blank"">查看</a>"
四川大学,统考,(304)计算机学院,(077500)计算机科学与技术,(06)计算机图形图像与虚拟现实,"<ahref=""/zsml/kskm.jsp?id=1061021304077500061""target=""_blank"">查看</a>"
四川大学,统考,(304)计算机学院,(077500)计算机科学与技术,(07)计算机视觉,"<ahref=""/zsml/kskm.jsp?id=1061021304077500071""target=""_blank"">查看</a>"
四川大学,统考,(304)计算机学院,(077500)计算机科学与技术,(08)机器智能与类脑计算,"<ahref=""/zsml/kskm.jsp?id=1061021304077500081""target=""_blank"">查看</a>"
四川大学,统考,(304)计算机学院,(077500)计算机科学与技术,(09)人机交互与普适计算,"<ahref=""/zsml/kskm.jsp?id=1061021304077500091""target=""_blank"">查看</a>"
四川大学,统考,(604)视觉合成图形图像技术国防重点学科实验室,(077500)计算机科学与技术,(01)计算机图形图像与虚拟现实,"<ahref=""/zsml/kskm.jsp?id=1061021604077500011""target=""_blank"">查看</a>"
四川大学,统考,(604)视觉合成图形图像技术国防重点学科实验室,(077500)计算机科学与技术,(02)计算机视觉,"<ahref=""/zsml/kskm.jsp?id=1061021604077500021""target=""_blank"">查看</a>"
四川大学,统考,(604)视觉合成图形图像技术国防重点学科实验室,(077500)计算机科学与技术,(03)机器智能与类脑计算,"<ahref=""/zsml/kskm.jsp?id=1061021604077500031""target=""_blank"">查看</a>"
四川大学,统考,(604)视觉合成图形图像技术国防重点学科实验室,(077500)计算机科学与技术,(04)计算机系统结构,"<ahref=""/zsml/kskm.jsp?id=1061021604077500041""target=""_blank"">查看</a>"
四川大学,统考,(604)视觉合成图形图像技术国防重点学科实验室,(077500)计算机科学与技术,(05)计算机网络,"<ahref=""/zsml/kskm.jsp?id=1061021604077500051""target=""_blank"">查看</a>"
四川大学,统考,(604)视觉合成图形图像技术国防重点学科实验室,(077500)计算机科学与技术,(06)人机交互与普适计算,"<ahref=""/zsml/kskm.jsp?id=1061021604077500061""target=""_blank"">查看</a>"
陕西师范大学,统考,(020)计算机科学学院,(077502)计算机软件与理论,(01)智能计算,"<ahref=""/zsml/kskm.jsp?id=1071821020077502011""target=""_blank"">查看</a>"
陕西师范大学,统考,(020)计算机科学学院,(077502)计算机软件与理论,(02)社会网络与社会计算,"<ahref=""/zsml/kskm.jsp?id=1071821020077502021""target=""_blank"">查看</a>"
陕西师范大学,统考,(020)计算机科学学院,(077502)计算机软件与理论,(03)密码学与信息安全,"<ahref=""/zsml/kskm.jsp?id=1071821020077502031""target=""_blank"">查看</a>"
陕西师范大学,统考,(020)计算机科学学院,(077502)计算机软件与理论,(04)智能视觉计算,"<ahref=""/zsml/kskm.jsp?id=1071821020077502041""target=""_blank"">查看</a>"
陕西师范大学,统考,(020)计算机科学学院,(077502)计算机软件与理论,(05)机器学习与数据挖掘,"<ahref=""/zsml/kskm.jsp?id=1071821020077502051""target=""_blank"">查看</a>"
陕西师范大学,统考,(020)计算机科学学院,(077502)计算机软件与理论,(06)符号计算与自动推理,"<ahref=""/zsml/kskm.jsp?id=1071821020077502061""target=""_blank"">查看</a>"
陕西师范大学,统考,(020)计算机科学学院,(077502)计算机软件与理论,(07)信息融合,"<ahref=""/zsml/kskm.jsp?id=1071821020077502071""target=""_blank"">查看</a>"
