大学名称,大学所在省份,大学隶属
北京大学,北京,教育部
中国人民大学,北京,教育部
清华大学,北京,教育部
北京航空航天大学,北京,工业与信息化部
北京理工大学,北京,工业与信息化部
中国农业大学,北京,教育部
北京师范大学,北京,教育部
中央民族大学,北京,国家民族事务委员会
南开大学,天津,教育部
天津大学,天津,教育部
大连理工大学,辽宁,教育部
东北大学,辽宁,教育部
吉林大学,吉林,教育部
哈尔滨工业大学,黑龙江,工业与信息化部
复旦大学,上海,教育部
同济大学,上海,教育部
上海交通大学,上海,教育部
华东师范大学,上海,教育部
南京大学,江苏,教育部
东南大学,江苏,教育部
浙江大学,浙江,教育部
中国科学技术大学,安徽,中国科学院
厦门大学,福建,教育部
山东大学,山东,教育部
中国海洋大学,山东,教育部
武汉大学,湖北,教育部
华中科技大学,湖北,教育部
湖南大学,湖南,教育部
中南大学,湖南,教育部
中山大学,广东,教育部
华南理工大学,广东,教育部
四川大学,四川,教育部
重庆大学,重庆,教育部
电子科技大学,四川,教育部
西安交通大学,陕西,教育部
西北工业大学,陕西,工业与信息化部
西北农林科技大学,陕西,教育部
兰州大学,甘肃,教育部
国防科技大学,湖南,解放军
